mcc,mnc,lac,cid,longitude,latitude,altitude,accuracy,samples
454,0,1,87050497,113.9059268,22.2546958,-1.0,663.0,5
454,0,1,87064834,114.001545,22.2642566,-1.0,500.0,14
454,0,1,87076097,114.0279672,22.2091677,-1.0,500.0,12
454,0,1,87077123,114.0237716,22.2079951,-1.0,853.0,16
454,0,2,87061761,113.9453833,22.2910298,-1.0,1047.0,61
454,0,2,87081217,113.9590758,22.2972952,-1.0,1206.0,28
454,0,2,87100673,113.9215541,22.304308,-1.0,2472.0,27
454,0,2,87121153,113.9451406,22.2900557,-1.0,500.0,21
454,0,2,87121154,113.9477043,22.289745,-1.0,500.0,22
454,0,2,87691522,113.9499173,22.3144643,-1.0,500.0,39
454,0,2,87691523,113.9429884,22.3144798,-1.0,743.0,12
454,0,2,87694595,113.9581988,22.3119912,-1.0,500.0,3
454,0,2,87694596,113.9554626,22.312273,-1.0,500.0,9
454,0,2,87694597,113.9606533,22.309495,-1.0,500.0,14
454,0,2,87694598,113.9698531,22.3042298,-1.0,946.0,16
454,0,2,87697665,113.9500762,22.3090521,-1.0,1380.0,8
454,0,2,87701762,113.9369513,22.3134208,-1.0,1312.0,11
454,0,3,76838146,114.0759189,22.3514275,-1.0,2008.0,15
454,0,3,76841219,114.0862118,22.3666718,-1.0,816.0,7
454,0,3,76842241,114.1039669,22.3618626,-1.0,500.0,5
454,0,3,76843265,114.0869992,22.3479511,-1.0,3665.0,25
454,0,3,76844289,114.1056802,22.3624476,-1.0,500.0,34
454,0,3,76915969,114.0847558,22.3541567,-1.0,500.0,15
454,0,3,76915970,114.079559,22.3526071,-1.0,616.0,36
454,0,3,76915971,114.080841,22.3630968,-1.0,1600.0,60
454,0,3,79388929,114.0667391,22.3664167,-1.0,500.0,47
454,0,3,79388930,114.0628091,22.367944,-1.0,500.0,8
454,0,3,79388931,114.0656617,22.3678217,-1.0,1651.0,95
454,0,3,79390978,114.0589779,22.366718,-1.0,500.0,21
454,0,3,79395074,114.0533858,22.3434799,-1.0,10081.0,40
454,0,3,79395075,114.0503599,22.3658266,-1.0,891.0,60
454,0,3,79397122,114.0447678,22.3611277,-1.0,698.0,24
454,0,3,79397123,114.0409685,22.3616926,-1.0,500.0,4
454,0,3,79399169,114.0900095,22.3701114,-1.0,2235.0,129
454,0,3,79399170,114.0805706,22.3665854,-1.0,4652.0,210
