mcc,mnc,lac,cid,lng,lat,alt,range,samples
901,12,37,34816,10.070933,58.719972,-1,500,37
901,12,37,39838,10.053438,58.585048,-1,500,48
901,12,671,4211,9.957219,57.6018,-1,500,2
901,12,671,11410,10.065989,58.666472,-1,500,6
901,12,671,13482,10.048794,58.503536,-1,500,4
901,12,4416,18603,10.015021,58.271833,-1,500,9
901,12,12201,7339,10.081487,58.979686,-1,500,4
901,12,12301,9123,8.099759,58.065196,-1,500,2
901,12,12337,1,10.02746,58.264646,-1,500,257
901,12,12337,2,10.027022,58.260295,-1,500,249
901,12,15050,1,13.375322,55.021238,-1,500,137
901,12,15105,1,12.592671,55.703699,-1,500,3
901,12,15105,2,12.59274,55.703295,-1,500,4
901,12,15255,1,2.218845,40.603887,-1,500,33
901,12,15330,1,9.098843,58.101424,-1,500,58
901,12,15330,2,9.174048,58.103922,-1,500,68
901,12,15330,3,8.448583,57.959588,-1,500,2
901,12,15335,1,9.912611,58.257744,-1,500,1435
901,12,15335,2,9.893942,58.312514,-1,500,1525
901,12,15335,3,10.024531,58.380559,-1,500,168
901,12,15445,1,7.531765,42.805912,-1,500,112
901,12,15445,2,7.683151,42.792256,-1,500,119
901,12,15485,1,18.260093,55.358994,-1,500,1365
901,12,15565,1,12.046261,54.259294,-1,500,294
901,12,61953,61331,10.061235,58.673962,-1,500,105
901,15,1030,10301,8.29647,50.19589,-1,500,16
901,18,63119,104,-23.256303,14.883024,-1,500,5
901,18,63119,21119,-13.15685,19.482426,-1,500,1055
901,18,63119,35074622,-15.740831,27.326251,-1,500,2
901,18,63119,2147483647,-2.430806,5.081947,-1,500,69
901,21,50127,10506,11.289282,54.579105,-1,500,2
